"Household Income in Chicago Community Areas
Note: All median income data are adjusted to year 2020 dollars.
",,,,,,,,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
"$20,000 to $24,999",,,1218,1291,877,971,1021,1001,941,911,865,855,620
"$25,000 to $29,999",,,1243,1059,903,1006,991,928,831,785,618,525,581
"$30,000 to $34,999",,,1083,1121,849,875,925,825,864,898,851,788,700
"$35,000 to $39,999",,,637,893,849,830,626,546,546,625,766,840,773
"$40,000 to $44,999",,,543,653,865,641,528,693,580,589,666,613,510
"$45,000 to $49,999",,,438,610,605,571,637,674,604,469,428,437,378
"$50,000 to $59,999",,,534,778,994,859,992,911,919,"1,011","1,143","1,024",993
"$60,000 to $74,999",,,375,717,"1,041","1,182","1,154","1,185","1,260","1,373","1,389","1,469","1,440"
"$75,000 to $99,999",,,86,659,935,971,944,"1,014","1,146","1,170","1,250","1,374","1,793"
"$100,000 to $124,999",,,33,269,474,424,460,449,543,801,861,1114,1206
"$125,000 to $149,999",,,12,85,274,345,285,282,306,357,404,497,574
"$150,000 to $199,999",,,7,131,192,188,192,223,281,238,336,506,591
"$200,000 or more",,,,57,104,102,147,121,172,255,336,464,701
Median household income,"$46,020","$41,319","$41,430","$43,097","$40,641","$39,529","$38,338","$39,268","$41,939","$44,482","$46,531","$52,550","$59,869"
,,,,,,,,,,,,,
32. Loop,,,,,,,,,,,,,
Total,"2,902","3,853","6,785","8,972","14,557","15,649","16,694","18,095","18,572","19,216","20,195","20,723","20,967"
"Less than $10,000",,,485,930,"1,491","1,432","1,517","1,750","1,687","1,557","1,416","1,317",986
"$10,000 to $14,999",,,153,195,588,790,784,918,876,600,445,611,189
"$15,000 to $19,999",,,305,270,226,238,156,225,265,256,201,286,292
"$20,000 to $24,999",,,328,331,311,245,238,246,292,299,448,453,292
"$25,000 to $29,999",,,379,241,429,453,414,341,296,349,300,324,260
"$30,000 to $34,999",,,470,315,239,328,422,350,349,296,353,494,414
"$35,000 to $39,999",,,544,314,430,370,233,271,191,304,337,263,346
"$40,000 to $44,999",,,440,477,297,370,517,562,516,431,568,385,778
"$45,000 to $49,999",,,406,451,418,479,478,485,408,437,489,419,439
"$50,000 to $59,999",,,654,579,938,933,890,1025,984,1028,815,650,735
"$60,000 to $74,999",,,732,973,"1,617","1,247","1,289","1,125","1,261","1,185","1,261","1,372","1,438"
"$75,000 to $99,999",,,707,"1,164","1,833","2,076","2,282","2,396","2,351","2,564","2,746","2,930","2,737"
"$100,000 to $124,999",,,468,719,"1,517","1,908","1,940","1,848","1,998","2,263","2,479","2,471","2,900"
"$125,000 to $149,999",,,219,535,"1,096","1,160","1,251","1,507","1,462","1,629","1,733","1,818","1,703"
"$150,000 to $199,999",,,495,727,"1,216","1,547","1,896","2,315","2,842","2,726","2,524","2,558","2,589"
"$200,000 or more",,,,751,"1,911","2,073","2,387","2,731","2,794","3,292","4,080","4,372","4,869"
Median household income,"$53,735","$38,856","$97,342","$101,100","$88,012","$93,929","$96,935","$100,200","$104,980","$107,942","$109,222","$108,895","$112,045"
,,,,,,,,,,,,,
33. Near South Side,,,,,,,,,,,,,
Total,"2,914","2,419","2,911","4,684","11,517","12,191","12,599","12,489","13,106","13,436","13,942","14,482","15,570"
"Less than $10,000",,,1768,1257,1253,1105,994,975,835,841,920,744,712
"$10,000 to $14,999",,,208,332,301,256,390,329,519,504,589,732,760
"$15,000 to $19,999",,,190,235,344,260,420,426,565,523,781,571,452
"$20,000 to $24,999",,,208,227,263,318,331,352,311,363,398,504,315
"$25,000 to $29,999",,,99,132,484,550,691,631,496,469,347,338,281
"$30,000 to $34,999",,,143,181,355,348,285,269,253,146,120,319,249
"$35,000 to $39,999",,,61,138,381,350,288,269,128,12,28,76,143
"$40,000 to $44,999",,,48,177,443,514,590,539,561,463,249,112,86
"$45,000 to $49,999",,,72,159,377,410,381,328,255,261,420,285,153
"$50,000 to $59,999",,,40,315,744,766,832,869,712,618,438,490,186
"$60,000 to $74,999",,,50,351,"1,014","1,328","1,150","1,098","1,242","1,362","1,020","1,017","1,321"
"$75,000 to $99,999",,,24,325,"1,481","1,247","1,450","1,212","1,319","1,509","1,613","1,515","1,916"
"$100,000 to $124,999",,,-,170,"1,232","1,360","1,474","1,483","1,660","1,570","1,667","1,329","1,893"
"$125,000 to $149,999",,,-,190,542,573,560,698,940,973,1170,1230,1567
"$150,000 to $199,999",,,-,234,959,"1,159","1,013","1,205","1,206","1,337","1,431","2,074","1,933"
"$200,000 or more",,,,261,"1,344","1,647","1,750","1,806","2,104","2,485","2,751","3,146","3,603"
Median household income,"$24,737","$20,219","$13,704","$53,290","$80,569","$81,586","$81,011","$84,695","$92,960","$97,707","$103,556","$110,435","$114,631"
,,,,,,,,,,,,,
34. Armour Square,,,,,,,,,,,,,
Total,"4,035","4,505","4,109","4,736","5,359","5,228","5,150","5,204","5,148","5,192","5,451","5,396","5,454"
"Less than $10,000",,,"1,709","1,416","1,222","1,150","1,313","1,264","1,192","1,226","1,080","1,011",830
"$10,000 to $14,999",,,466,434,861,829,645,604,464,437,570,570,571
"$15,000 to $19,999",,,303,281,521,400,346,417,331,348,394,331,348
"$20,000 to $24,999",,,261,396,226,291,360,372,493,483,549,519,476
"$25,000 to $29,999",,,260,312,252,300,309,294,323,369,280,193,200
"$30,000 to $34,999",,,192,223,198,193,280,270,308,232,290,236,194
"$35,000 to $39,999",,,147,191,279,220,190,284,255,219,235,295,263
"$40,000 to $44,999",,,149,224,185,153,153,165,89,91,170,137,161
"$45,000 to $49,999",,,150,120,169,73,93,129,157,123,203,182,92
"$50,000 to $59,999",,,181,250,310,314,271,256,271,268,264,279,368
"$60,000 to $74,999",,,158,285,330,453,387,387,373,327,349,349,315
"$75,000 to $99,999",,,74,336,354,404,282,261,322,314,344,494,701
"$100,000 to $124,999",,,34,115,196,199,175,193,237,275,236,240,231
"$125,000 to $149,999",,,5,63,130,102,219,188,186,272,252,143,147
"$150,000 to $199,999",,,20,31,97,86,73,79,102,121,155,258,405
"$200,000 or more",,,,59,29,61,54,41,45,87,80,159,152
Median household income,"$37,056","$34,144","$27,222","$35,325","$24,216","$26,533","$25,764","$26,334","$28,333","$27,562","$27,997","$31,880","$36,915"
,,,,,,,,,,,,,
35. Douglas,,,,,,,,,,,,,
Total,"14,918","14,319","13,067","10,835","9,023","8,986","9,071","9,276","9,490","9,590","9,625","9,767","10,140"
"Less than $10,000",,,"5,843","3,271","1,945","1,985","2,208","2,346","2,346","2,320","2,233","2,208","2,219"
"$10,000 to $14,999",,,1128,944,836,752,761,781,818,754,941,1031,983
"$15,000 to $19,999",,,1013,636,472,591,507,589,645,657,654,661,496
"$20,000 to $24,999",,,918,583,549,574,617,691,629,584,429,422,362
"$25,000 to $29,999",,,850,542,401,285,278,276,349,316,391,356,423
"$30,000 to $34,999",,,707,652,477,428,325,349,337,430,545,583,505
"$35,000 to $39,999",,,560,628,441,445,380,368,327,304,377,411,515
"$40,000 to $44,999",,,480,565,365,517,461,531,551,472,383,360,225
"$45,000 to $49,999",,,269,390,320,250,334,285,331,380,379,159,197
"$50,000 to $59,999",,,553,724,767,663,629,625,518,555,601,655,1117
"$60,000 to $74,999",,,377,770,784,947,991,855,960,938,767,734,783
"$75,000 to $99,999",,,166,500,721,669,710,750,770,821,737,901,758
"$100,000 to $124,999",,,96,304,386,356,360,300,379,399,509,529,602
"$125,000 to $149,999",,,39,151,154,197,129,145,116,228,170,171,319
"$150,000 to $199,999",,,68,66,243,220,248,254,267,239,266,325,302
"$200,000 or more",,,,109,162,107,133,131,147,193,243,261,334
Median household income,"$36,083","$28,823","$26,167","$38,552","$37,258","$37,125","$35,374","$31,744","$31,595","$33,386","$32,303","$32,050","$35,719"
,,,,,,,,,,,,,
36. Oakland,,,,,,,,,,,,,
Total,"5,019","4,894","2,749","2,270","2,743","2,825","2,810","2,793","2,860","2,934","3,096","3,233","3,144"
"Less than $10,000",,,1966,1090,693,727,722,706,749,659,691,602,612
"$10,000 to $14,999",,,187,234,303,386,351,280,271,317,300,285,309
"$15,000 to $19,999",,,168,164,281,235,210,153,152,191,223,277,250
"$20,000 to $24,999",,,58,115,308,247,126,140,121,169,165,158,184
"$25,000 to $29,999",,,133,100,63,72,151,171,212,199,234,187,107
"$30,000 to $34,999",,,66,114,118,97,110,179,190,148,191,189,67
"$35,000 to $39,999",,,42,118,107,166,155,126,125,132,87,134,117
"$40,000 to $44,999",,,28,52,118,132,160,136,125,131,119,119,81
"$45,000 to $49,999",,,6,34,40,66,87,97,103,89,111,125,227
"$50,000 to $59,999",,,52,71,43,77,109,130,158,200,235,290,282
"$60,000 to $74,999",,,22,57,203,201,189,218,180,196,184,237,123
"$75,000 to $99,999",,,11,51,121,98,73,130,203,174,208,207,244
"$100,000 to $124,999",,,10,11,103,76,90,115,114,133,100,178,140
"$125,000 to $149,999",,,-,19,61,67,51,34,49,47,58,74,120
"$150,000 to $199,999",,,-,40,136,114,87,61,42,80,107,115,180
"$200,000 or more",,,,-,45,64,139,117,66,69,83,56,101
Median household income,"$23,121","$15,586","$10,208","$16,670","$23,989","$23,443","$27,102","$30,839","$30,207","$29,545","$29,285","$33,134","$36,718"
,,,,,,,,,,,,,
37. Fuller Park,,,,,,,,,,,,,
Total,"1,915","1,930","1,531","1,266","1,146","1,162","1,106","1,060","1,064","1,045","1,070","1,128","1,133"
"Less than $10,000",,,864,430,368,361,370,288,252,227,215,243,273
"$10,000 to $14,999",,,164,125,189,178,134,143,109,101,113,128,241
"$15,000 to $19,999",,,105,107,123,130,131,106,123,111,124,97,135
"$20,000 to $24,999",,,78,70,27,33,31,81,114,139,158,166,133
"$25,000 to $29,999",,,67,98,115,94,80,69,70,80,58,68,41
"$30,000 to $34,999",,,38,83,25,33,34,35,27,17,50,61,38
"$35,000 to $39,999",,,14,48,66,73,41,29,68,69,36,45,38
"$40,000 to $44,999",,,41,52,54,51,53,57,66,44,69,83,69
"$45,000 to $49,999",,,43,68,54,23,24,24,45,57,44,35,30
"$50,000 to $59,999",,,37,58,18,54,49,45,39,41,48,72,62
"$60,000 to $74,999",,,47,35,31,17,28,32,40,53,60,46,18
"$75,000 to $99,999",,,19,38,63,71,67,70,47,41,22,18,9
"$100,000 to $124,999",,,14,-,13,33,56,60,41,43,61,51,46
"$125,000 to $149,999",,,-,8,-,-,-,10,18,17,12,15,0
"$150,000 to $199,999",,,-,8,-,-,-,-,-,-,0,0,0
"$200,000 or more",,,,38,-,11,8,11,5,5,0,0,0
Median household income,"$36,576","$25,796","$16,737","$28,581","$17,472","$18,142","$18,097","$21,370","$23,530","$23,866","$22,966","$22,890","$16,638"
,,,,,,,,,,,,,
38. Grand Boulevard,,,,,,,,,,,,,
Total,"23,876","18,601","12,275","10,006","9,878","9,936","9,890","9,831","10,042","10,323","10,537","10,702","11,205"
"Less than $10,000",,,"7,546","3,864","2,000","2,165","2,183","2,014","2,041","2,122","1,862","1,748","1,816"
"$10,000 to $14,999",,,"1,363","1,302",987,793,996,"1,048","1,152","1,073","1,145","1,200","1,204"
"$15,000 to $19,999",,,971,758,738,772,692,837,942,898,895,738,531
"$20,000 to $24,999",,,607,540,662,733,629,593,499,477,593,666,650
"$25,000 to $29,999",,,469,484,538,491,408,438,423,400,455,438,410
"$30,000 to $34,999",,,371,470,454,473,474,490,544,519,642,730,624
"$35,000 to $39,999",,,247,290,389,412,483,403,393,505,342,258,447
"$40,000 to $44,999",,,134,387,322,323,294,310,340,357,415,392,389
"$45,000 to $49,999",,,87,255,206,278,294,282,235,282,341,340,389
"$50,000 to $59,999",,,257,374,704,663,670,703,605,577,606,680,695
"$60,000 to $74,999",,,106,403,687,737,719,651,783,823,723,683,669
"$75,000 to $99,999",,,90,440,866,890,853,779,796,889,769,1045,1414
"$100,000 to $124,999",,,11,201,582,510,527,508,545,504,534,656,832
"$125,000 to $149,999",,,3,55,189,165,114,175,209,258,287,324,317
"$150,000 to $199,999",,,13,87,308,315,317,327,298,334,594,477,474
"$200,000 or more",,,,96,246,216,237,273,237,305,334,327,344
Median household income,"$26,571","$18,028","$14,392","$22,009","$33,939","$33,446","$33,143","$32,521","$31,802","$33,316","$33,268","$34,182","$39,030"
,,,,,,,,,,,,,
39. Kenwood,,,,,,,,,,,,,
Total,"10,563","10,006","8,639","8,936","9,116","9,145","9,130","8,928","9,117","9,181","9,308","9,571","9,834"
"Less than $10,000",,,"2,411","1,781","1,425","1,474","1,512","1,413","1,548","1,597","1,423","1,468","1,581"
"$10,000 to $14,999",,,798,731,777,725,581,590,600,614,604,636,553
"$15,000 to $19,999",,,676,376,764,698,596,534,558,476,460,560,454
"$20,000 to $24,999",,,694,521,396,471,525,572,512,611,689,531,369
"$25,000 to $29,999",,,536,516,464,441,472,454,381,361,280,327,438
"$30,000 to $34,999",,,470,403,388,585,527,595,606,442,436,442,558
"$35,000 to $39,999",,,394,403,527,434,380,368,252,299,269,352,414
"$40,000 to $44,999",,,376,494,500,475,510,330,359,233,230,221,198
"$45,000 to $49,999",,,481,377,221,189,195,246,269,324,316,302,227
"$50,000 to $59,999",,,381,562,537,644,604,645,570,529,574,519,535
"$60,000 to $74,999",,,472,1018,660,508,594,576,565,638,759,702,647
"$75,000 to $99,999",,,315,657,777,813,721,723,838,758,862,965,974
"$100,000 to $124,999",,,221,405,524,576,697,655,683,583,566,667,749
"$125,000 to $149,999",,,164,169,247,234,225,299,387,529,480,499,583
"$150,000 to $199,999",,,250,169,355,339,388,336,330,385,499,511,642
"$200,000 or more",,,,354,554,539,603,592,659,802,861,869,912
Median household income,"$38,671","$40,594","$45,937","$56,834","$42,930","$40,980","$43,241","$42,632","$44,510","$46,270","$50,559","$49,738","$52,082"
,,,,,,,,,,,,,
40. Washington Park,,,,,,,,,,,,,
Total,"14,696","11,028","6,442","4,733","4,142","4,180","4,172","4,336","4,351","4,334","4,538","4,526","4,695"
"Less than $10,000",,,"3,572","1,709","1,182","1,378","1,196","1,228","1,117","1,041","1,070","1,122","1,360"
"$10,000 to $14,999",,,798,640,404,382,356,364,315,305,326,331,328
"$15,000 to $19,999",,,466,431,334,382,420,453,504,422,342,389,439
"$20,000 to $24,999",,,467,380,260,242,251,295,320,383,415,399,329
"$25,000 to $29,999",,,260,236,275,215,253,267,196,208,236,260,235
"$30,000 to $34,999",,,250,266,197,154,166,189,280,307,336,267,316
"$35,000 to $39,999",,,163,166,215,187,228,230,176,243,273,312,252
"$40,000 to $44,999",,,146,96,127,174,131,152,164,208,241,175,130
"$45,000 to $49,999",,,79,96,200,138,127,131,138,167,123,126,126
"$50,000 to $59,999",,,90,185,168,206,235,248,291,252,266,271,268
"$60,000 to $74,999",,,85,222,242,258,308,334,365,320,349,294,310
"$75,000 to $99,999",,,66,131,311,268,290,254,212,217,224,242,301
"$100,000 to $124,999",,,-,76,140,73,73,92,117,109,159,125,134
"$125,000 to $149,999",,,-,9,28,25,42,51,87,110,142,168,90
"$150,000 to $199,999",,,-,26,30,55,43,19,35,19,30,40,73
"$200,000 or more",,,,64,29,43,53,29,34,23,6,5,4
Median household income,"$31,710","$21,903","$16,924","$23,533","$25,552","$21,282","$24,093","$23,857","$25,385","$26,631","$28,090","$25,723","$23,146"
,,,,,,,,,,,,,
41. Hyde Park,,,,,,,,,,,,,
Total,"14,264","14,545","13,668","14,373","12,539","12,558","12,445","12,468","12,529","12,602","13,043","13,288","13,676"
"Less than $10,000",,,"2,521","2,016","1,730","1,823","1,865","1,844","2,039","2,011","1,895","1,865","2,084"
"$10,000 to $14,999",,,1083,958,578,652,706,738,672,675,645,702,704
"$15,000 to $19,999",,,1273,1153,586,536,443,392,444,426,491,521,519
"$20,000 to $24,999",,,1337,899,770,761,675,570,601,597,732,675,707
"$25,000 to $29,999",,,1017,900,896,709,681,528,523,495,527,397,430
"$30,000 to $34,999",,,981,1086,404,621,648,616,538,545,527,641,758
"$35,000 to $39,999",,,841,798,604,522,428,450,457,438,450,469,443
"$40,000 to $44,999",,,733,701,398,364,480,530,419,441,408,422,584
"$45,000 to $49,999",,,557,574,509,508,398,438,421,394,423,431,390
"$50,000 to $59,999",,,797,1098,963,947,1059,1039,1015,1062,1023,969,904
"$60,000 to $74,999",,,814,1235,1382,1377,1377,1459,1297,1133,1107,925,798
"$75,000 to $99,999",,,676,929,"1,003","1,062",969,"1,035","1,161","1,358","1,554","1,545","1,357"
"$100,000 to $124,999",,,415,645,774,778,838,931,738,695,728,1009,1127
"$125,000 to $149,999",,,231,450,313,425,526,456,545,547,494,582,651
"$150,000 to $199,999",,,392,470,785,621,561,530,548,515,552,605,660
"$200,000 or more",,,,461,844,852,791,912,"1,111","1,270","1,487","1,530","1,560"
Median household income,"$51,820","$50,344","$55,773","$55,869","$53,908","$53,003","$53,126","$55,690","$55,237","$54,965","$55,329","$55,737","$52,141"
,,,,,,,,,,,,,
42. Woodlawn,,,,,,,,,,,,,
Total,"19,014","14,138","10,441","10,145","10,302","10,250","10,267","10,394","10,381","10,481","10,588","10,652","10,985"
"Less than $10,000",,,"4,298","3,321","2,146","2,238","2,230","2,377","2,460","2,402","2,233","2,339","2,104"
"$10,000 to $14,999",,,"1,207","1,205",980,"1,018",943,979,"1,003","1,056",982,"1,021","1,130"
"$15,000 to $19,999",,,1308,780,872,901,979,994,933,903,795,802,931
"$20,000 to $24,999",,,821,642,909,936,761,869,751,667,759,832,810
"$25,000 to $29,999",,,622,806,620,604,680,555,579,647,695,616,467
"$30,000 to $34,999",,,473,580,681,588,616,533,470,442,569,509,472
"$35,000 to $39,999",,,531,429,343,430,465,458,404,375,346,300,418
"$40,000 to $44,999",,,173,337,643,559,481,423,417,478,518,470,365
"$45,000 to $49,999",,,280,342,236,183,274,286,319,274,219,176,213
"$50,000 to $59,999",,,315,598,520,486,541,493,463,484,614,580,648
"$60,000 to $74,999",,,208,442,644,711,648,660,709,785,748,805,802
"$75,000 to $99,999",,,157,352,698,722,711,913,878,836,822,868,1042
"$100,000 to $124,999",,,27,195,392,366,370,323,444,563,639,645,758
"$125,000 to $149,999",,,12,15,322,231,206,194,177,189,198,235,365
"$150,000 to $199,999",,,9,53,173,175,256,242,284,276,322,351,344
"$200,000 or more",,,,48,123,102,106,95,90,104,129,103,116
Median household income,"$34,467","$25,011","$27,552","$28,355","$30,168","$28,005","$28,889","$27,106","$27,286","$27,827","$29,479","$27,894","$30,479"
,,,,,,,,,,,,,
43. South Shore,,,,,,,,,,,,,
Total,"32,102","31,393","25,253","25,711","21,700","21,822","21,416","21,268","21,504","21,420","21,703","22,306","23,023"
"Less than $10,000",,,"7,276","5,576","4,861","4,928","4,861","4,971","5,347","5,291","4,982","4,833","4,338"
"$10,000 to $14,999",,,"2,399","2,046","1,914","1,882","2,004","1,996","2,010","2,020","1,623","1,528","1,625"
"$15,000 to $19,999",,,"2,896","1,818","1,329","1,664","1,774","2,126","2,118","2,372","2,280","1,908","1,525"
"$20,000 to $24,999",,,"2,363","2,113","1,423","1,569","1,566","1,337","1,311","1,422","1,432","1,595","1,644"
"$25,000 to $29,999",,,2003,2198,1253,1226,1231,1072,1084,917,824,950,976
"$30,000 to $34,999",,,1645,1801,1283,1276,1126,1231,1279,864,1117,1240,1358
"$35,000 to $39,999",,,"1,543","1,697","1,297","1,039","1,097","1,118","1,134","1,153","1,402","1,443","1,219"
"$40,000 to $44,999",,,1011,1489,1138,1050,1050,926,869,855,850,776,936
"$45,000 to $49,999",,,857,1021,763,680,563,432,551,567,691,828,774
"$50,000 to $59,999",,,"1,319","1,713","1,477","1,431","1,341","1,299","1,109","1,206","1,303","1,359","1,911"
"$60,000 to $74,999",,,"1,000","1,585","1,854","1,700","1,803","1,720","1,424","1,285","1,486","1,534","2,117"
"$75,000 to $99,999",,,593,"1,459","1,549","1,634","1,559","1,469","1,567","1,521","1,530","1,697","1,898"
"$100,000 to $124,999",,,174,579,831,927,720,768,801,968,922,1171,1035
"$125,000 to $149,999",,,54,279,325,393,345,367,352,362,531,572,562
"$150,000 to $199,999",,,120,192,265,244,186,193,242,289,359,414,546
"$200,000 or more",,,,145,138,179,190,243,306,328,371,458,559
Median household income,"$52,175","$45,349","$40,470","$43,075","$34,054","$31,508","$29,341","$28,194","$26,768","$24,624","$28,929","$31,675","$35,166"
,,,,,,,,,,,,,
44. Chatham,,,,,,,,,,,,,
Total,"16,442","16,361","15,349","15,750","14,098","13,692","13,469","13,545","13,517","13,650","13,672","13,907","14,368"
"Less than $10,000",,,"3,006","2,297","2,367","2,432","2,253","2,439","2,298","2,228","2,282","2,367","2,024"
"$10,000 to $14,999",,,"1,434","1,178","1,242","1,130","1,095","1,081","1,302","1,478","1,299","1,506","1,506"
"$15,000 to $19,999",,,1823,1216,1407,1250,1090,1033,1046,1072,1179,924,962
"$20,000 to $24,999",,,1717,1395,972,930,890,1014,896,835,828,753,683
"$25,000 to $29,999",,,1428,1186,980,819,897,946,953,903,986,875,771
"$30,000 to $34,999",,,1248,1191,728,729,644,584,560,594,717,621,710
"$35,000 to $39,999",,,899,1144,678,849,795,870,943,831,612,537,544
"$40,000 to $44,999",,,900,920,626,621,655,523,641,785,604,688,883
"$45,000 to $49,999",,,633,740,647,523,576,565,460,235,295,447,518
"$50,000 to $59,999",,,917,"1,197","1,151","1,004","1,017","1,052","1,093","1,225","1,199","1,074","1,109"
"$60,000 to $74,999",,,581,1136,1082,1192,1155,1082,899,918,1059,1074,1253
"$75,000 to $99,999",,,566,"1,054","1,064","1,046","1,130","1,184","1,180","1,281","1,379","1,410","1,348"
"$100,000 to $124,999",,,119,659,471,477,541,591,662,528,482,529,955
"$125,000 to $149,999",,,46,134,289,281,293,256,269,295,373,633,531
"$150,000 to $199,999",,,32,121,296,332,332,242,233,266,172,208,239
"$200,000 or more",,,,182,98,77,106,83,82,176,206,261,332
Median household income,"$58,026","$51,880","$48,354","$50,203","$34,342","$35,299","$36,968","$34,989","$34,695","$34,107","$32,620","$34,654","$39,837"
,,,,,,,,,,,,,
45. Avalon Park,,,,,,,,,,,,,
Total,"4,121","4,276","3,935","4,050","3,871","3,940","3,844","3,790","3,890","3,898","3,905","4,007","4,069"
"Less than $10,000",,,513,300,406,478,422,565,669,655,553,579,427
"$10,000 to $14,999",,,283,270,248,236,184,223,207,171,155,131,76
"$15,000 to $19,999",,,296,212,260,223,244,247,193,199,243,274,196
"$20,000 to $24,999",,,239,278,241,281,296,379,327,236,189,229,120
"$25,000 to $29,999",,,357,271,137,77,123,117,207,226,311,300,413
"$30,000 to $34,999",,,299,243,276,255,249,169,280,276,214,230,216
"$35,000 to $39,999",,,293,251,197,173,199,146,117,143,145,75,93
"$40,000 to $44,999",,,287,227,156,206,222,185,174,157,212,205,244
"$45,000 to $49,999",,,201,185,170,228,239,226,209,155,94,159,121
"$50,000 to $59,999",,,362,379,252,195,222,259,237,312,370,270,296
"$60,000 to $74,999",,,376,501,357,296,250,274,242,295,358,435,524
"$75,000 to $99,999",,,320,522,443,509,506,353,491,477,383,437,450
"$100,000 to $124,999",,,75,254,398,418,318,252,149,219,216,185,191
"$125,000 to $149,999",,,23,84,165,202,214,241,196,178,229,275,305
"$150,000 to $199,999",,,11,38,127,120,108,122,145,161,178,183,364
"$200,000 or more",,,,35,38,43,48,32,47,38,55,40,33
Median household income,"$71,741","$70,700","$69,731","$68,835","$51,116","$50,860","$48,681","$44,968","$40,430","$43,379","$44,519","$45,098","$53,941"
,,,,,,,,,,,,,
46. South Chicago,,,,,,,,,,,,,
Total,"14,747","14,379","12,594","12,586","10,770","10,555","10,176","10,190","10,225","10,406","10,491","10,834","10,876"
"Less than $10,000",,,"2,874","2,501","1,703","1,846","1,687","1,824","1,734","1,595","1,398","1,463","1,467"
"$10,000 to $14,999",,,1342,1117,1167,1261,1081,1001,1116,1040,862,800,867
"$15,000 to $19,999",,,1400,1038,900,749,894,782,844,960,883,776,736
"$20,000 to $24,999",,,1138,986,804,827,929,1029,890,887,958,805,837
"$25,000 to $29,999",,,998,941,734,626,550,655,691,787,794,933,662
"$30,000 to $34,999",,,1035,867,688,709,651,519,595,533,616,659,560
"$35,000 to $39,999",,,791,779,440,444,458,536,524,603,571,539,322
"$40,000 to $44,999",,,678,589,602,723,720,625,567,492,485,557,805
"$45,000 to $49,999",,,559,470,531,481,440,493,351,350,356,369,459
"$50,000 to $59,999",,,681,922,669,526,541,450,694,722,819,627,502
"$60,000 to $74,999",,,566,1049,806,804,721,766,791,816,833,789,1118
"$75,000 to $99,999",,,360,708,801,782,726,734,707,814,955,1384,1228
"$100,000 to $124,999",,,116,311,395,398,320,343,361,408,566,553,516
"$125,000 to $149,999",,,36,121,248,83,124,146,165,174,178,323,531
"$150,000 to $199,999",,,20,94,204,216,253,203,153,182,134,175,160
"$200,000 or more",,,,93,78,80,81,84,42,43,83,82,106
Median household income,"$54,065","$57,971","$46,000","$43,898","$34,338","$32,979","$32,166","$30,912","$30,895","$31,020","$33,648","$35,322","$39,778"
,,,,,,,,,,,,,
47. Burnside,,,,,,,,,,,,,
Total,1017,1015,972,958,1056,962,901,887,926,965,1046,888,992
"Less than $10,000",,,130,159,162,152,106,137,157,160,150,120,101
"$10,000 to $14,999",,,113,65,183,186,120,122,108,98,198,143,101
"$15,000 to $19,999",,,123,70,154,194,167,146,115,99,102,88,43
"$20,000 to $24,999",,,106,37,11,10,55,53,93,127,66,61,66
"$25,000 to $29,999",,,54,68,67,14,26,30,49,49,76,37,81
"$30,000 to $34,999",,,112,83,105,87,83,63,70,34,18,42,57
"$35,000 to $39,999",,,38,62,45,29,51,104,71,76,71,71,54
"$40,000 to $44,999",,,42,34,11,9,18,24,36,59,77,21,22
"$45,000 to $49,999",,,88,26,12,19,-,-,-,26,27,62,110
"$50,000 to $59,999",,,72,98,72,102,107,38,33,20,4,14,60
"$60,000 to $74,999",,,27,117,121,81,47,18,16,31,59,43,48
"$75,000 to $99,999",,,54,66,43,28,40,54,95,97,74,84,52
"$100,000 to $124,999",,,13,32,-,-,48,74,63,89,117,89,108
"$125,000 to $149,999",,,-,4,29,16,-,-,-,-,7,8,8
"$150,000 to $199,999",,,-,37,21,14,27,21,10,-,0,5,6
"$200,000 or more",,,,-,20,21,6,3,10,-,0,0,75
Median household income,"$55,961","$66,236","$52,257","$54,005","$29,500","$20,358","$27,774","$25,590","$26,238","$26,197","$26,150","$29,653","$39,281"
,,,,,,,,,,,,,
48. Calumet Heights,,,,,,,,,,,,,
Total,"5,985","6,167","5,809","5,867","5,586","5,486","5,325","5,369","5,298","5,271","5,248","5,319","5,456"
"Less than $10,000",,,500,531,352,304,298,313,403,333,379,381,371
"$10,000 to $14,999",,,287,334,193,226,245,327,378,339,264,297,280
"$15,000 to $19,999",,,320,217,290,293,278,325,283,354,373,310,334
"$20,000 to $24,999",,,412,397,261,268,330,372,412,411,274,348,314
"$25,000 to $29,999",,,526,235,352,254,222,177,189,228,322,336,176
"$30,000 to $34,999",,,519,358,214,274,279,336,272,251,279,281,307
"$35,000 to $39,999",,,466,289,148,178,249,303,302,271,269,290,239
"$40,000 to $44,999",,,405,475,342,232,243,244,233,192,226,215,184
"$45,000 to $49,999",,,285,339,318,438,376,292,280,269,300,225,221
"$50,000 to $59,999",,,627,509,575,484,516,559,601,563,508,434,407
"$60,000 to $74,999",,,680,622,569,565,468,353,303,327,404,459,442
"$75,000 to $99,999",,,494,775,845,883,823,790,758,686,565,626,587
"$100,000 to $124,999",,,197,387,488,515,484,485,522,497,538,583,573
"$125,000 to $149,999",,,71,177,175,209,234,226,173,227,162,127,521
"$150,000 to $199,999",,,20,137,304,201,165,144,118,168,238,263,293
"$200,000 or more",,,,85,160,162,115,123,71,155,147,144,207
